X,Y,Z,Intensity,ReturnNumber,NumberOfReturns,ScanDirectionFlag,EdgeOfFlightLine,Classification,ScanAngleRank,UserData,PointSourceId,GpsTime,Red,Green,Blue,ClusterID
572283.735,4498584.468,35.172,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47104.0,11008.0,8704.0,18.0
572283.716,4498584.473,35.178,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44800.0,10240.0,7424.0,18.0
572283.69,4498584.474,35.185,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,12288.0,9728.0,18.0
572283.611,4498584.486,35.211,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,10752.0,8448.0,18.0
572283.564,4498584.502,35.23,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,9472.0,7680.0,18.0
572283.388,4498584.52,35.284,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48896.0,14080.0,10496.0,18.0
572283.382,4498584.523,35.287,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50176.0,15104.0,13056.0,18.0
572283.352,4498584.531,35.295,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46336.0,11008.0,8448.0,18.0
572283.344,4498584.527,35.297,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47104.0,12544.0,9728.0,18.0
572283.531,4498584.476,35.238,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48896.0,16384.0,15616.0,18.0
572283.533,4498584.487,35.239,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47104.0,16384.0,15104.0,18.0
572283.492,4498584.504,35.245,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46080.0,18944.0,16896.0,18.0
572283.465,4498584.513,35.249,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,21248.0,19968.0,18.0
572283.614,4498584.485,35.21,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46336.0,12288.0,10496.0,18.0
572283.39,4498584.533,35.286,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,15872.0,12544.0,18.0
572283.648,4498584.479,35.197,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46336.0,13568.0,10752.0,18.0
572283.658,4498584.474,35.196,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43520.0,19200.0,17408.0,18.0
572283.648,4498584.48,35.202,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,47104.0,12544.0,10752.0,18.0
572283.593,4498584.49,35.215,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,44032.0,27648.0,26112.0,18.0
572283.64,4498584.482,35.203,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45824.0,11008.0,9472.0,18.0
572283.63,4498584.478,35.205,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44032.0,19968.0,18176.0,18.0
572283.632,4498584.488,35.206,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,44800.0,10496.0,8704.0,18.0
572283.621,4498584.482,35.209,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48128.0,13312.0,13056.0,18.0
572283.773,4498584.466,35.161,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,10752.0,7424.0,18.0
572283.597,4498584.492,35.216,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,47360.0,12032.0,10752.0,18.0
572283.594,4498584.485,35.217,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46592.0,14848.0,13824.0,18.0
572283.623,4498584.49,35.21,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,12032.0,10752.0,18.0
572283.603,4498584.481,35.213,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,44544.0,17408.0,15872.0,18.0
572283.596,4498584.509,35.223,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,39424.0,34304.0,18.0
572283.604,4498584.489,35.215,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46848.0,10752.0,9216.0,18.0
572283.575,4498584.498,35.216,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45568.0,20224.0,18432.0,18.0
572283.494,4498584.501,35.241,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50176.0,16128.0,15360.0,18.0
572283.256,4498584.549,35.315,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,25856.0,23808.0,18.0
572283.291,4498584.531,35.301,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43520.0,18688.0,18432.0,18.0
572283.534,4498584.5,35.231,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48384.0,16896.0,15872.0,18.0
572283.431,4498584.51,35.258,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43776.0,18944.0,18432.0,18.0
572283.495,4498584.513,35.243,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45312.0,20992.0,18688.0,18.0
572283.327,4498584.531,35.291,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46080.0,18944.0,16896.0,18.0
