"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","Synthetic","KeyPoint","Withheld","Overlap","ScanAngleRank","UserData","PointSourceId","Red","Green","Blue","ClusterID"
572284.645,4498587.319,35.459,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46336.000,27648.000,25344.000,1.000
572284.139,4498587.320,35.592,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,47104.000,13312.000,13056.000,0.000
572284.142,4498587.333,35.593,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,47616.000,19456.000,16128.000,0.000
572284.132,4498587.555,35.637,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,48896.000,17664.000,16128.000,1.000
572284.064,4498587.282,35.604,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,43520.000,18944.000,17408.000,0.000
572284.170,4498589.544,36.007,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45056.000,12800.000,12800.000,0.000
572284.152,4498589.539,36.010,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,47104.000,13312.000,13568.000,0.000
572284.145,4498589.541,36.012,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46336.000,14080.000,14336.000,0.000
572284.137,4498589.543,36.013,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45312.000,11776.000,11776.000,0.000
572284.164,4498589.529,36.003,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45056.000,15616.000,15104.000,0.000
572286.855,4498588.722,38.053,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45824.000,12032.000,11776.000,2.000
572283.790,4498589.598,36.110,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46080.000,12544.000,12800.000,0.000
572283.209,4498589.429,36.226,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44800.000,12288.000,11264.000,0.000
572281.841,4498589.119,36.520,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,44288.000,18944.000,17920.000,0.000
572281.839,4498589.112,36.520,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,43520.000,18432.000,17664.000,0.000
572281.840,4498589.090,36.513,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,44544.000,19968.000,18944.000,0.000
572283.119,4498589.742,36.311,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46080.000,18944.000,18176.000,0.000
572283.024,4498589.721,36.345,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45568.000,20224.000,21248.000,0.000
572283.033,4498589.737,36.342,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46848.000,16128.000,15616.000,0.000
572283.036,4498589.751,36.343,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46336.000,16896.000,17408.000,0.000
572281.835,4498589.125,36.516,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,43520.000,15104.000,14592.000,0.000
572280.950,4498590.075,36.930,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,43520.000,17664.000,16640.000,0.000
572280.964,4498590.078,36.927,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,44800.000,14592.000,13568.000,0.000
572286.769,4498586.770,37.804,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,45568.000,14336.000,14336.000,3.000
572286.747,4498586.738,37.834,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45056.000,11776.000,11264.000,3.000
572286.755,4498586.768,37.809,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,46848.000,15616.000,14848.000,3.000
572286.735,4498586.752,37.838,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46848.000,13824.000,12544.000,3.000
572286.720,4498586.754,37.840,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45824.000,13568.000,13056.000,3.000
572286.701,4498586.738,37.842,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,47104.000,13312.000,12800.000,3.000
572286.705,4498586.753,37.843,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,43520.000,10752.000,9472.000,3.000
572286.689,4498586.763,37.806,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,47872.000,14336.000,13824.000,3.000
572286.625,4498586.791,37.808,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,45312.000,11776.000,11520.000,3.000
572287.293,4498586.694,37.749,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45056.000,11008.000,10240.000,4.000
572287.284,4498586.707,37.749,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,46080.000,10752.000,10240.000,4.000
572287.269,4498586.694,37.749,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45056.000,11264.000,10240.000,4.000
